EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,ADANIENT,FF,27-02-2025,0.0,22200,0,0.0,-900,2199.82,21300,-347925.0,2232.73,2216.4,-900,2199.82
FO,ADANIENT,CE,27-02-2025,2300.0,-1200,0,0.0,0,0.0,-1200,11520.0,31.65,22.05,0,0.0
FO,ADANIENT,PE,27-02-2025,2300.0,1200,0,0.0,0,0.0,1200,5940.0,98.3,103.25,0,0.0
FO,ADANIENT,CE,27-02-2025,2340.0,-600,0,0.0,0,0.0,-600,4230.0,22.4,15.35,0,0.0
FO,ADANIENT,PE,27-02-2025,2340.0,600,0,0.0,0,0.0,600,6150.0,129.75,140.0,0,0.0
FO,ADANIENT,CE,27-02-2025,2500.0,-9300,600,4.53,0,0.0,-8700,24660.0,7.38,4.55,600,4.53
FO,ADANIENT,PE,27-02-2025,2500.0,9300,0,0.0,-600,301.68,8700,161700.0,268.56,287.15,-600,301.68
FO,ADANIENT,CE,27-02-2025,2200.0,-600,0,0.0,0,0.0,-600,8940.0,77.15,62.25,0,0.0
FO,ADANIENT,PE,27-02-2025,2200.0,600,0,0.0,0,0.0,600,-930.0,46.55,45.0,0,0.0
FO,ADANIENT,CE,27-02-2025,2400.0,-10500,300,8.8,0,0.0,-10200,48885.0,13.79,9.0,300,8.8
FO,ADANIENT,PE,27-02-2025,2400.0,10500,0,0.0,-300,210.0,10200,192810.0,174.9,193.8,-300,210.0
FO,ADANIGREEN,CE,27-02-2025,1000.0,-375,0,0.0,0,0.0,-375,0.0,4.0,4.0,0,0.0
FO,ADANIGREEN,PE,27-02-2025,1000.0,375,0,0.0,0,0.0,375,4125.0,113.15,124.15,0,0.0
FO,ADANIGREEN,CE,27-02-2025,1040.0,-375,0,0.0,0,0.0,-375,37.5,2.5,2.4,0,0.0
FO,ADANIGREEN,PE,27-02-2025,1040.0,375,0,0.0,0,0.0,375,6506.25,150.0,167.35,0,0.0
FO,ADANIGREEN,FF,27-02-2025,0.0,750,0,0.0,0,0.0,750,8175.0,863.15,874.05,0,0.0
FO,BANKBARODA,FF,27-02-2025,0.0,368550,0,0.0,0,0.0,368550,-468058.5,207.15,205.88,0,0.0
FO,BANKBARODA,CE,27-02-2025,200.0,-5850,0,0.0,0,0.0,-5850,7897.5,9.25,7.9,0,0.0
FO,BANKBARODA,PE,27-02-2025,200.0,5850,0,0.0,0,0.0,5850,292.5,2.15,2.2,0,0.0
FO,BANKBARODA,CE,27-02-2025,210.0,-49725,0,0.0,0,0.0,-49725,47238.75,3.25,2.3,0,0.0
FO,BANKBARODA,PE,27-02-2025,210.0,49725,0,0.0,0,0.0,49725,27348.75,6.05,6.6,0,0.0
FO,BANKBARODA,CE,27-02-2025,215.0,-11700,0,0.0,0,0.0,-11700,5850.0,1.7,1.2,0,0.0
FO,BANKBARODA,PE,27-02-2025,215.0,11700,0,0.0,0,0.0,11700,10530.0,9.6,10.5,0,0.0
FO,BANKBARODA,CE,27-02-2025,220.0,-125775,0,0.0,0,0.0,-125775,44021.25,0.95,0.6,0,0.0
FO,BANKBARODA,PE,27-02-2025,220.0,125775,0,0.0,0,0.0,125775,150930.0,13.7,14.9,0,0.0
FO,BANKBARODA,CE,27-02-2025,230.0,-166725,0,0.0,0,0.0,-166725,16672.5,0.35,0.25,0,0.0
FO,BANKBARODA,PE,27-02-2025,230.0,166725,0,0.0,0,0.0,166725,525183.75,22.8,25.95,0,0.0
